Year,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductDensity,EngagementScore,AgeTenureInteraction,BalancePerProduct,HighBalanceFlag,HighSalaryFlag,LoyalCustomer,SeniorCitizen,FinancialScore,Geography_Germany,Geography_Spain,Gender_Male,CreditCategory_Fair,CreditCategory_Good,CreditCategory_Poor,AgeGroup_31-40,AgeGroup_41-50,AgeGroup_51-60,AgeGroup_60+
2025,619,42,2,0.0,1,1,1,101348.88,0.0,0.3333333333333333,2,84,0.0,0,1,0,0,619.0,False,False,False,True,False,False,False,True,False,False
2025,608,41,1,83807.86,1,0,1,112542.58,0.7446702868346644,0.5,1,41,41903.93,0,1,0,0,691.80786,False,True,False,True,False,False,False,True,False,False
2025,502,42,8,159660.8,3,1,0,113931.57,1.401362226797833,0.3333333333333333,1,336,39915.2,1,1,1,0,661.6608,False,False,False,False,False,True,False,True,False,False
2025,699,39,1,0.0,2,0,0,93826.63,0.0,1.0,0,39,0.0,0,0,0,0,699.0,False,False,False,False,True,False,True,False,False,False
2025,850,43,2,125510.82,1,1,1,79084.1,1.5870349787760274,0.3333333333333333,2,86,62755.41,1,0,0,0,975.51082,False,True,False,False,False,False,False,True,False,False
2025,645,44,8,113755.78,2,1,0,149756.71,0.7595988213227887,0.2222222222222222,1,352,37918.59333333333,1,1,1,0,758.75578,False,True,True,True,False,False,False,True,False,False
2025,822,50,7,0.0,2,1,1,10062.8,0.0,0.25,2,350,0.0,0,0,1,0,822.0,False,False,True,False,False,False,False,True,False,False
2025,376,29,4,115046.74,4,1,0,119346.88,0.9639613204692032,0.8,1,116,23009.348,1,1,0,0,491.04674,True,False,False,False,False,True,False,False,False,False
2025,501,44,4,142051.07,2,0,1,74940.5,1.8954927510124564,0.4,1,176,47350.35666666667,1,0,0,0,643.05107,False,False,True,False,False,True,False,True,False,False
2025,684,27,2,134603.88,1,1,1,71725.73,1.8766208915421072,0.3333333333333333,2,54,67301.94,1,0,0,0,818.60388,False,False,True,False,True,False,False,False,False,False
2025,528,31,6,102016.72,2,0,0,80181.12,1.2723125804106952,0.2857142857142857,0,186,34005.573333333334,1,0,1,0,630.01672,False,False,True,False,False,True,True,False,False,False
2025,497,24,3,0.0,2,1,0,76390.01,0.0,0.5,1,72,0.0,0,0,0,0,497.0,False,True,True,False,False,True,False,False,False,False
2025,476,34,10,0.0,2,1,0,26260.98,0.0,0.1818181818181818,1,340,0.0,0,0,1,0,476.0,False,False,False,False,False,True,True,False,False,False
2025,549,25,5,0.0,2,0,0,190857.79,0.0,0.3333333333333333,0,125,0.0,0,1,1,0,549.0,False,False,False,False,False,True,False,False,False,False
2025,635,35,7,0.0,2,1,1,65951.65,0.0,0.25,2,245,0.0,0,0,1,0,635.0,False,True,False,True,False,False,True,False,False,False
2025,616,45,3,143129.41,2,0,1,64327.26,2.224984944408569,0.5,1,135,47709.80333333334,1,0,0,0,759.12941,True,False,True,True,False,False,False,True,False,False
2025,653,58,1,132602.88,1,1,0,5097.67,26.00734701402523,0.5,1,58,66301.44,1,0,0,0,785.60288,True,False,True,True,False,False,False,False,True,False
2025,549,24,9,0.0,2,1,1,14406.41,0.0,0.2,2,216,0.0,0,0,1,0,549.0,False,True,False,False,False,True,False,False,False,False
2025,587,45,6,0.0,1,0,0,158684.81,0.0,0.1428571428571428,0,270,0.0,0,1,1,0,587.0,False,True,True,True,False,False,False,True,False,False
2025,726,24,6,0.0,2,1,1,54724.03,0.0,0.2857142857142857,2,144,0.0,0,0,1,0,726.0,False,False,False,False,True,False,False,False,False,False
2025,732,41,8,0.0,2,1,1,170886.17,0.0,0.2222222222222222,2,328,0.0,0,1,1,0,732.0,False,False,True,False,True,False,False,True,False,False
2025,636,32,8,0.0,2,1,0,138555.46,0.0,0.2222222222222222,1,256,0.0,0,1,1,0,636.0,False,True,False,True,False,False,True,False,False,False
2025,510,38,4,0.0,1,1,0,118913.53,0.0,0.2,1,152,0.0,0,1,0,0,510.0,False,True,False,False,False,True,True,False,False,False
2025,669,46,3,0.0,2,0,1,8487.75,0.0,0.5,1,138,0.0,0,0,0,0,669.0,False,False,True,True,False,False,False,True,False,False
2025,846,38,5,0.0,1,1,1,187616.16,0.0,0.1666666666666666,2,190,0.0,0,1,1,0,846.0,False,False,False,False,False,False,True,False,False,False
2025,577,25,3,0.0,2,0,1,124508.29,0.0,0.5,1,75,0.0,0,1,0,0,577.0,False,False,True,False,False,True,False,False,False,False
2025,756,36,2,136815.64,1,1,1,170041.95,0.8045946038927224,0.3333333333333333,2,72,68407.82,1,1,0,0,892.81564,True,False,True,False,False,False,True,False,False,False
2025,571,44,9,0.0,2,0,0,38433.35,0.0,0.2,0,396,0.0,0,0,1,0,571.0,False,False,True,False,False,True,False,True,False,False
2025,574,43,3,141349.43,1,1,1,100187.43,1.4108358619852612,0.25,2,129,70674.715,1,0,0,0,715.34943,True,False,False,False,False,True,False,True,False,False
2025,411,29,0,59697.17,2,1,1,53483.21,1.116164378234249,2.0,2,0,19899.056666666667,0,0,0,0,470.69717,False,False,True,False,False,True,False,False,False,False
2025,591,39,3,0.0,3,1,0,140469.38,0.0,0.75,1,117,0.0,0,1,0,0,591.0,False,True,False,True,False,False,True,False,False,False
2025,533,36,7,85311.7,1,0,1,156731.91,0.5443126143705237,0.125,1,252,42655.85,0,1,1,0,618.3117,False,False,True,False,False,True,True,False,False,False
2025,553,41,9,110112.54,2,0,0,81898.81,1.3444785769344276,0.2,0,369,36704.18,1,0,1,0,663.11254,True,False,True,False,False,True,False,True,False,False
2025,520,42,6,0.0,2,1,1,34410.55,0.0,0.2857142857142857,2,252,0.0,0,0,1,0,520.0,False,True,False,False,False,True,False,True,False,False
2025,722,29,9,0.0,2,1,1,142033.07,0.0,0.2,2,261,0.0,0,1,1,0,722.0,False,True,False,False,True,False,False,False,False,False
2025,475,45,0,134264.04,1,1,0,27822.99,4.825477582474692,1.0,1,0,67132.02,1,0,0,0,609.26404,False,False,False,False,False,True,False,True,False,False
2025,490,31,3,145260.23,1,0,1,114066.77,1.2734555080720873,0.25,1,93,72630.115,1,1,0,0,635.26023,False,True,True,False,False,True,True,False,False,False
2025,804,33,7,76548.6,1,0,1,98453.45,0.7775026928696469,0.125,1,231,38274.3,0,0,1,0,880.5486,False,True,True,False,False,False,True,False,False,False
2025,850,36,7,0.0,1,1,1,40812.9,0.0,0.125,2,252,0.0,0,0,1,0,850.0,False,False,True,False,False,False,True,False,False,False
2025,582,41,6,70349.48,2,0,1,178074.04,0.3950552531112726,0.2857142857142857,1,246,23449.826666666664,0,1,1,0,652.34948,True,False,True,True,False,False,False,True,False,False
2025,472,40,4,0.0,1,1,0,70154.22,0.0,0.2,1,160,0.0,0,0,0,0,472.0,False,True,True,False,False,True,True,False,False,False
2025,465,51,8,122522.32,1,0,0,181297.65,0.6758038187267252,0.1111111111111111,0,408,61261.16,1,1,1,0,587.52232,False,False,False,False,False,True,False,False,True,False
2025,556,61,2,117419.35,1,1,1,94153.83,1.247087908288932,0.3333333333333333,2,122,58709.675,1,0,0,1,673.41935,False,False,False,False,False,True,False,False,False,True
2025,834,49,2,131394.56,1,0,0,194365.76,0.6760135323550178,0.3333333333333333,0,98,65697.28,1,1,0,0,965.39456,False,False,False,False,False,False,False,True,False,False
2025,660,61,5,155931.11,1,1,1,158338.39,0.984790392333834,0.1666666666666666,2,305,77965.555,1,1,1,1,815.93111,False,True,False,True,False,False,False,False,False,True
