Year,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductDensity,EngagementScore,AgeTenureInteraction,BalancePerProduct,CreditCategory,AgeGroup,HighBalanceFlag,HighSalaryFlag,LoyalCustomer,SeniorCitizen,FinancialScore
2025,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.3333333333333333,2,84,0.0,Fair,41-50,0,1,0,0,619.0
2025,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,0.5,1,41,41903.93,Fair,41-50,0,1,0,0,691.80786
2025,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,0.3333333333333333,1,336,39915.2,Poor,41-50,1,1,1,0,661.6608
2025,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,1.0,0,39,0.0,Good,31-40,0,0,0,0,699.0
2025,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,0.3333333333333333,2,86,62755.41,Excellent,41-50,1,0,0,0,975.51082
2025,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,0.2222222222222222,1,352,37918.59333333333,Fair,41-50,1,1,1,0,758.75578
2025,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.25,2,350,0.0,Excellent,41-50,0,0,1,0,822.0
2025,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692031,0.8,1,116,23009.348,Poor,18-30,1,1,0,0,491.04674
2025,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,0.4,1,176,47350.35666666667,Poor,41-50,1,0,0,0,643.05107
2025,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,0.3333333333333333,2,54,67301.94,Good,18-30,1,0,0,0,818.60388
2025,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,0.2857142857142857,0,186,34005.573333333334,Poor,31-40,1,0,1,0,630.01672
2025,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.5,1,72,0.0,Poor,18-30,0,0,0,0,497.0
2025,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.18181818181818182,1,340,0.0,Poor,31-40,0,0,1,0,476.0
2025,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.3333333333333333,0,125,0.0,Poor,18-30,0,1,1,0,549.0
2025,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.25,2,245,0.0,Fair,31-40,0,0,1,0,635.0
2025,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.224984944408569,0.5,1,135,47709.80333333334,Fair,41-50,1,0,0,0,759.12941
2025,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.00734701402523,0.5,1,58,66301.44,Fair,51-60,1,0,0,0,785.60288
2025,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.2,2,216,0.0,Poor,18-30,0,0,1,0,549.0
2025,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.14285714285714285,0,270,0.0,Fair,41-50,0,1,1,0,587.0
2025,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.2857142857142857,2,144,0.0,Good,18-30,0,0,1,0,726.0
2025,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.2222222222222222,2,328,0.0,Good,41-50,0,1,1,0,732.0
2025,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.2222222222222222,1,256,0.0,Fair,31-40,0,1,1,0,636.0
2025,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.2,1,152,0.0,Poor,31-40,0,1,0,0,510.0
2025,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.5,1,138,0.0,Fair,41-50,0,0,0,0,669.0
2025,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.16666666666666666,2,190,0.0,Excellent,31-40,0,1,1,0,846.0
2025,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.5,1,75,0.0,Poor,18-30,0,1,0,0,577.0
2025,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045946038927224,0.3333333333333333,2,72,68407.82,Excellent,31-40,1,1,0,0,892.81564
2025,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.2,0,396,0.0,Poor,41-50,0,0,1,0,571.0
2025,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108358619852612,0.25,2,129,70674.715,Poor,41-50,1,0,0,0,715.34943
2025,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.116164378234249,2.0,2,0,19899.056666666667,Poor,18-30,0,0,0,0,470.69717
2025,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.75,1,117,0.0,Fair,31-40,0,1,0,0,591.0
2025,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443126143705237,0.125,1,252,42655.85,Poor,31-40,0,1,1,0,618.3117
2025,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.3444785769344276,0.2,0,369,36704.18,Poor,41-50,1,0,1,0,663.11254
2025,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.2857142857142857,2,252,0.0,Poor,41-50,0,0,1,0,520.0
2025,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.2,2,261,0.0,Good,18-30,0,1,1,0,722.0
2025,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825477582474692,1.0,1,0,67132.02,Poor,41-50,1,0,0,0,609.26404
2025,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.2734555080720873,0.25,1,93,72630.115,Poor,31-40,1,1,0,0,635.26023
2025,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775026928696469,0.125,1,231,38274.3,Excellent,31-40,0,0,1,0,880.5486
2025,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.125,2,252,0.0,Excellent,31-40,0,0,1,0,850.0
2025,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950552531112726,0.2857142857142857,1,246,23449.826666666664,Fair,41-50,0,1,1,0,652.34948
